Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
206,0,-0.0113254,0.0405427,0.147112,-525.902,527.521,62.6635
207,0,-0.0127667,0.0417219,0.149986,-526.712,527.445,63.7432
208,0,-0.0206214,0.047418,0.148967,-527.474,527.214,64.7491
209,0,-0.0182359,0.0502428,0.151059,-528.275,527.181,65.8546
210,0,-0.0215111,0.055857,0.146017,-529.067,526.988,66.831
211,0,-0.0202102,0.0546983,0.148711,-529.769,526.875,67.8212
212,0,-0.0253843,0.0582087,0.147921,-530.405,526.575,68.7748
213,0,-0.0216822,0.0566425,0.149684,-530.988,526.478,69.7263
214,0,-0.0217578,0.0609787,0.148512,-531.622,526.24,70.6449
215,0,-0.0298679,0.048239,0.152644,-531.94,525.911,71.4746
216,0,-0.0187965,0.0620846,0.151349,-532.706,525.891,72.6053
217,0,-0.0237119,0.0614852,0.150741,-533.127,525.587,73.6808
218,0,-0.024202,0.0609147,0.149678,-533.511,525.359,74.707
219,0,-0.0258022,0.061071,0.149554,-533.87,525.135,75.8075
220,0,-0.0282768,0.0335173,0.136826,-533.701,524.716,77.4047
221,0,-0.0258615,0.0599703,0.148268,-534.5,524.719,77.9971
222,0,-0.0295336,0.0623674,0.146613,-534.74,524.437,79.1818
223,0,-0.028775,0.0626942,0.146948,-534.987,524.24,80.299
224,0,-0.0296275,0.0599336,0.146503,-535.095,523.999,81.5433
225,0,-0.034323,0.0632288,0.1442,-535.276,523.68,82.7053
226,0,-0.0297179,0.0657959,0.144358,-535.374,523.535,83.8984
227,0,-0.0311771,0.0631976,0.143908,-535.406,523.319,85.1766
228,0,-0.0421345,0.0492628,0.147025,-535.18,522.92,86.3727
229,0,-0.0486801,0.0466674,0.146072,-535.1,522.615,87.6241
230,0,-0.0410869,0.0584235,0.142705,-535.281,522.551,89.0523
231,0,-0.0374041,0.0561796,0.142969,-535.19,522.419,90.4552
232,0,-0.0401394,0.051097,0.140806,-535,522.211,91.824
233,0,-0.0451525,0.0528394,0.139849,-534.86,521.947,93.1542
234,0,-0.0410712,0.0517584,0.13989,-534.712,521.848,94.5331
