Objects
100
,,Global Angle 511DRONE:511DRONE,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
153,0,0.00255687,-0.0808483,3.23886,-67.9591,-4.50307,15.7801
154,0,0.00618959,-0.0762102,3.23933,-67.9569,-4.44233,15.693
155,0,0.0176229,-0.0859477,3.24091,-68.0079,-4.42905,15.6576
156,0,0.0129582,-0.0773292,3.23819,-68.0106,-4.39239,15.7462
157,0,0.000562396,-0.0715412,3.24407,-68.0074,-4.35156,15.7521
158,0,-0.0064194,-0.0703447,3.24443,-68.0497,-4.38387,15.8391
159,0,-0.0118942,-0.0647653,3.24845,-68.1296,-4.44664,16.2008
160,0,-0.00336846,-0.0885526,3.24934,-68.2286,-4.32569,16.6028
161,0,-0.0132365,-0.101935,3.25157,-68.3291,-4.40962,17.3191
162,0,-0.0374791,-0.0988483,3.25799,-68.4062,-4.61709,18.4387
163,0,-0.0461587,-0.125904,3.26211,-68.6004,-4.77809,19.731
164,0,-0.102856,-0.137763,3.26866,-68.7057,-5.00289,21.3795
165,0,-0.118646,-0.149278,3.27323,-68.9324,-5.28536,23.506
166,0,-0.128539,-0.163004,3.27556,-69.2757,-5.5675,25.8966
167,0,-0.161848,-0.153578,3.28595,-69.5599,-6.08353,28.8131
168,0,-0.125908,-0.166305,3.27975,-70.1307,-6.4362,31.8186
169,0,-0.139005,-0.15456,3.28488,-70.6691,-6.97461,35.244
170,0,-0.114062,-0.123526,3.29116,-71.2156,-7.54644,39.2269
171,0,-0.0386726,-0.1116,3.28414,-71.9503,-8.176,43.2303
172,0,-0.0847541,-0.0515337,3.30848,-72.2828,-8.72911,48.1165
173,0,-0.0721256,-0.0221438,3.31966,-73.0104,-9.3946,53.0677
174,0,-0.0543923,0.0112465,3.31447,-73.7037,-10.0591,58.23
175,0,0.0349594,-0.00843933,3.30326,-74.6721,-10.5706,63.2824
176,0,-0.0101531,0.0225449,3.31676,-75.2821,-11.2158,69.0156
177,0,0.0216737,0.017637,3.31811,-75.9442,-11.8036,74.8385
178,0,0.052233,0.0012334,3.31127,-76.7464,-12.3715,80.767
179,0,0.0690016,-0.016476,3.31325,-77.4539,-12.8796,86.8745
180,0,0.0649766,-0.029629,3.31655,-78.1258,-13.4141,93.1803
181,0,0.0537822,-0.0343429,3.31786,-78.7264,-13.8604,99.6164
182,0,0.0492128,-0.0419322,3.3234,-79.3914,-14.2853,106.139
183,0,0.0652175,-0.0414578,3.32283,-79.9994,-14.6265,112.467
184,0,0.0438083,-0.0397449,3.32284,-80.5473,-14.9628,119.171
185,0,0.0463078,-0.0416438,3.32004,-81.0762,-15.2621,125.724
186,0,0.0414915,-0.0396266,3.32388,-81.6124,-15.6306,132.42
187,0,-0.00603225,-0.0141741,3.34277,-81.8492,-15.8758,139.299
188,0,0.0697333,-0.0358112,3.32192,-82.5365,-16.0662,145.475
189,0,0.0648783,-0.0301929,3.32413,-82.9365,-16.3394,152.13
190,0,0.0739996,-0.0277023,3.32528,-83.3191,-16.5259,158.744
191,0,0.0778047,-0.0228286,3.3229,-83.619,-16.7395,165.289
192,0,0.0848246,-0.00221272,3.32598,-83.8753,-16.8153,171.77
193,0,0.0401714,-0.00555356,3.3399,-84.051,-16.9267,178.212
194,0,0.0421805,-0.015806,3.33373,-84.524,-17.0157,184.489
195,0,0.0798576,-0.0268635,3.3219,-84.7551,-17.1248,190.607
196,0,0.0649169,-0.0331013,3.31977,-84.9435,-17.1813,196.768
197,0,0.0701586,-0.0542357,3.31499,-85.1501,-17.1832,202.812
198,0,0.0600637,-0.0521633,3.31881,-85.2156,-17.2426,208.859
199,0,0.0553231,-0.0613249,3.31722,-85.4096,-17.2478,214.624
200,0,0.0472791,-0.0596817,3.31326,-85.5629,-17.2722,220.52
201,0,-0.00448227,-0.0326329,3.33007,-85.3582,-17.2758,226.376
202,0,0.000951434,-0.0597115,3.32092,-85.511,-17.1941,231.771
203,0,0.0479715,-0.0807509,3.31107,-85.6863,-17.1788,237.148
204,0,0.0283888,-0.0734042,3.30828,-85.6694,-17.2588,242.644
205,0,0.0399424,-0.0763253,3.30658,-85.6039,-17.2188,247.778
206,0,0.0420842,-0.0579969,3.31011,-85.5264,-17.2796,252.949
207,0,0.0557004,-0.086202,3.30421,-85.5697,-17.1559,257.664
208,0,0.0475974,-0.0829432,3.30625,-85.4543,-17.1455,262.516
209,0,0.0442092,-0.0762123,3.30578,-85.3551,-17.15,267.132
210,0,0.043651,-0.0835591,3.30531,-85.2305,-17.148,271.51
211,0,0.0259462,-0.0640226,3.30488,-85.0579,-17.1834,276.044
212,0,0.0288029,-0.0805229,3.30219,-84.8878,-17.1895,280.093
213,0,0.0208835,-0.087927,3.29921,-84.7898,-17.2162,284.064
214,0,0.0135078,-0.0858651,3.29948,-84.5946,-17.292,287.977
215,0,0.00599066,-0.0824078,3.29924,-84.3713,-17.396,291.769
216,0,0.0097943,-0.0945693,3.30043,-84.2206,-17.4493,295.27
217,0,0.0237529,-0.107459,3.29766,-83.9967,-17.5315,298.471
218,0,0.0171291,-0.10147,3.29797,-83.789,-17.6236,301.776
219,0,0.00786775,-0.0944933,3.29714,-83.531,-17.8018,304.89
220,0,0.0146759,-0.101792,3.29456,-83.3475,-18.0032,307.762
221,0,0.00762788,-0.0947382,3.29897,-83.1011,-18.1009,310.655
222,0,0.019726,-0.101124,3.29566,-82.9005,-18.2215,313.251
223,0,0.0170366,-0.0860075,3.29871,-82.604,-18.529,315.759
224,0,0.0110146,-0.0889565,3.29607,-82.3275,-18.7095,318.145
225,0,0.0259188,-0.0977309,3.29284,-82.1107,-18.9264,320.248
226,0,0.00295125,-0.0854137,3.29268,-81.9408,-19.2273,322.56
227,0,0.0110585,-0.0953267,3.29453,-81.5438,-19.4958,324.423
228,0,0.00624163,-0.114804,3.291,-81.3157,-19.7958,326.092
229,0,0.00522003,-0.108059,3.2954,-81.0515,-20.1146,327.948
230,0,0.00373745,-0.11863,3.28924,-80.7977,-20.459,329.475
231,0,-0.0014238,-0.107906,3.29275,-80.485,-20.8824,331.091
232,0,-0.0106541,-0.10043,3.2908,-80.2678,-21.3245,332.48
233,0,-0.0468308,-0.106917,3.29861,-79.8895,-21.6549,333.738
234,0,-0.0421302,-0.101473,3.29918,-79.6555,-22.1432,335.049
235,0,-0.023383,-0.0945437,3.28917,-79.4352,-22.7427,336.201
236,0,0.00195517,-0.107073,3.29312,-79.1438,-23.149,337.074
237,0,-0.050453,-0.0818317,3.2989,-78.8661,-23.6687,338.179
238,0,-0.00805984,-0.0952246,3.29064,-78.7654,-24.2421,339.067
239,0,-0.0158768,-0.0955878,3.29249,-78.5337,-24.8366,339.941
240,0,-0.0250366,-0.09637,3.29302,-78.3095,-25.4432,340.916
241,0,-0.0211147,-0.101733,3.29239,-78.1246,-25.9559,341.615
242,0,-0.0185635,-0.109326,3.29126,-77.9334,-26.5807,342.326
243,0,-0.024177,-0.084655,3.29502,-77.7031,-27.3568,343.227
244,0,-0.0199159,-0.0983564,3.29291,-77.5929,-28.007,343.79
245,0,-0.0421897,-0.0929938,3.29139,-77.3994,-28.6706,344.667
246,0,-0.0237787,-0.0946284,3.29259,-77.2126,-29.3161,345.327
247,0,-0.0544872,-0.0986661,3.29859,-77.0858,-29.9031,345.907
248,0,-0.0297349,-0.0840842,3.29365,-77.0845,-30.8678,346.722
249,0,-0.0339534,-0.0887555,3.29431,-76.9738,-31.6039,347.344
250,0,-0.0599894,-0.0997737,3.30252,-76.8315,-32.2156,347.877
251,0,-0.0220172,-0.0954724,3.29234,-76.8929,-33.2327,348.655
252,0,-0.0292654,-0.08803,3.29082,-76.9016,-34.0092,349.42
253,0,-0.0236952,-0.0823537,3.29433,-76.8251,-34.8075,350.051
254,0,-0.0751654,-0.0705726,3.3023,-76.7341,-35.6293,350.799
255,0,-0.0355464,-0.0817183,3.29251,-76.8463,-36.5726,351.439
256,0,-0.0229141,-0.0981178,3.2919,-76.8821,-37.3933,351.939
257,0,-0.0293324,-0.085458,3.29561,-76.9092,-38.3187,352.841
258,0,-0.024099,-0.0971314,3.29128,-77.0705,-39.1216,353.484
259,0,-0.0285446,-0.0776059,3.29096,-77.1253,-40.1314,354.326
260,0,-0.0257931,-0.0762878,3.29729,-77.1622,-41.083,355.038
261,0,-0.0275658,-0.0812736,3.29293,-77.3312,-41.9905,355.723
262,0,-0.0338966,-0.0704909,3.29349,-77.456,-42.9733,356.592
263,0,-0.0240641,-0.0934454,3.29349,-77.6639,-43.8439,357.31
264,0,-0.0199159,-0.0823083,3.29477,-77.7846,-44.8219,358.16
265,0,-0.00778633,-0.0923006,3.2927,-77.9933,-45.7003,358.848
266,0,-0.0112396,-0.0736653,3.29453,-78.2421,-46.7481,359.811
267,0,-0.0097072,-0.0703393,3.29739,-78.3217,-47.7414,360.694
268,0,-0.0147739,-0.0797199,3.2944,-78.5548,-48.7256,361.449
269,0,-0.0113509,-0.0674403,3.30092,-78.7352,-49.7763,362.335
270,0,-0.0469957,-0.0902899,3.30038,-78.8507,-50.6454,363.017
271,0,-0.0179914,-0.0705856,3.2925,-79.2535,-51.7135,364.051
272,0,-0.00799571,-0.0817226,3.29244,-79.5217,-52.7005,364.847
273,0,-0.0138022,-0.0590413,3.29701,-79.7277,-53.7395,365.866
274,0,-0.0248072,-0.0571434,3.29304,-79.9903,-54.7834,366.67
275,0,-0.0133075,-0.0714714,3.29397,-80.2341,-55.8203,367.399
276,0,-0.00334808,-0.0713704,3.29612,-80.5014,-56.8064,368.339
277,0,-0.0431397,-0.0778827,3.3,-80.7574,-57.7548,369.098
278,0,-0.00589899,-0.0619296,3.29504,-81.1338,-58.8445,369.933
279,0,-0.00247503,-0.0742455,3.29413,-81.4412,-59.7792,370.714
280,0,-0.00367973,-0.0619062,3.29742,-81.7628,-60.8985,371.638
281,0,0.00608517,-0.0628908,3.29257,-82.1098,-61.9114,372.335
282,0,-0.000821069,-0.0586228,3.29672,-82.3336,-62.9986,373.07
283,0,0.00299549,-0.0622949,3.29847,-82.5884,-64.0096,373.97
284,0,-0.00801744,-0.0653523,3.29697,-82.9233,-65.0498,374.784
285,0,7.41193e-05,-0.065875,3.29224,-83.201,-66.032,375.467
286,0,0.00941687,-0.0610409,3.29313,-83.5076,-67.0218,376.213
287,0,-0.00923885,-0.0524941,3.29556,-83.7846,-68.088,377.058
288,0,-0.00385875,-0.0648045,3.29296,-84.2024,-69.1117,377.828
289,0,-0.0122201,-0.0573153,3.29203,-84.4401,-70.1282,378.495
290,0,0.0107151,-0.0594833,3.29159,-84.7552,-71.1408,379.176
291,0,0.00717174,-0.0732359,3.29141,-85.1034,-72.1064,379.869
292,0,-0.00845087,-0.061893,3.2941,-85.3142,-73.2148,380.722
293,0,-0.0390422,-0.0575189,3.2985,-85.5775,-74.0746,381.325
294,0,-0.00392398,-0.0593085,3.29172,-85.9566,-75.1612,382.05
295,0,0.00640773,-0.0563586,3.29442,-86.3275,-76.2042,382.711
296,0,-0.00421115,-0.0368069,3.2913,-86.5926,-77.2402,383.581
297,0,-0.00590443,-0.0433107,3.29307,-86.87,-78.2435,384.223
298,0,-0.00319012,-0.062159,3.29311,-87.1706,-79.1101,384.899
299,0,-0.00666203,-0.0585809,3.29203,-87.4989,-80.247,385.589
300,0,0.00798911,-0.079957,3.28879,-87.7967,-81.0772,386.096
301,0,0.00581355,-0.0674658,3.2889,-88.088,-82.0113,386.94
302,0,0.00197692,-0.0563517,3.29598,-88.419,-83.0829,387.679
303,0,0.00350827,-0.0619154,3.29265,-88.7576,-84.0335,388.255
304,0,-0.0082749,-0.0421168,3.29551,-88.9976,-85.0112,389.138
305,0,-0.00107579,-0.0547696,3.29309,-89.2966,-86.0063,389.719
306,0,0.00385306,-0.0646074,3.28996,-89.5853,-86.8933,390.431
307,0,-0.0404683,-0.0447149,3.29851,-89.7907,-87.7623,391.066
308,0,-0.0288539,-0.0641321,3.29832,-90.0391,-88.6435,391.638
309,0,-0.0101285,-0.0523815,3.29049,-90.4224,-89.7284,392.479
310,0,-0.00439287,-0.0531464,3.29105,-90.6123,-90.5954,393.122
311,0,0.0208474,-0.0650558,3.2886,-90.9272,-91.5353,393.614
312,0,0.00317184,-0.0457865,3.29293,-91.2654,-92.4528,394.611
313,0,0.00435988,-0.0652673,3.28884,-91.5336,-93.3372,395.184
314,0,0.0106479,-0.0626319,3.2914,-91.7156,-94.1501,395.833
315,0,0.00290605,-0.0422759,3.29326,-91.9641,-95.1531,396.593
316,0,0.0154271,-0.0663275,3.29327,-92.2187,-95.9478,397.163
317,0,0.000850239,-0.0592065,3.28989,-92.5266,-96.8847,397.92
318,0,-0.00660683,-0.0504625,3.28592,-92.7298,-97.7677,398.607
319,0,0.010203,-0.0556082,3.28938,-92.9234,-98.6259,399.234
320,0,-0.00447334,-0.0483975,3.2915,-93.151,-99.5289,400.089
321,0,-0.00366419,-0.0484933,3.28763,-93.4177,-100.34,400.686
322,0,0.0133493,-0.0593421,3.28406,-93.6917,-101.114,401.27
323,0,-0.00816039,-0.0473185,3.28527,-93.8955,-101.968,402.062
324,0,0.00338853,-0.0641188,3.2876,-93.987,-102.78,402.642
325,0,0.00573117,-0.0569834,3.28567,-94.2499,-103.6,403.244
326,0,0.00201923,-0.0532677,3.28584,-94.4574,-104.51,403.865
327,0,0.018548,-0.0687702,3.28456,-94.7151,-105.24,404.468
328,0,0.0112384,-0.0700536,3.28622,-94.8337,-106.015,405.222
329,0,0.00176103,-0.0472431,3.28635,-94.9618,-106.818,405.871
330,0,0.0185356,-0.0534062,3.28814,-95.2328,-107.611,406.302
331,0,0.0208366,-0.0551944,3.29154,-95.4096,-108.366,406.943
332,0,0.00765352,-0.0517357,3.28763,-95.5578,-109.166,407.657
333,0,0.0120902,-0.0634304,3.28561,-95.7482,-109.876,408.048
334,0,-0.00433584,-0.0432493,3.28733,-95.8289,-110.714,408.75
335,0,0.00694436,-0.054239,3.28665,-95.9586,-111.491,409.203
336,0,0.00528947,-0.0539802,3.28315,-96.1002,-112.194,409.774
337,0,-0.0227094,-0.0521754,3.28968,-96.2077,-112.861,410.112
338,0,-0.00323984,-0.0480935,3.28152,-96.4249,-113.658,410.794
339,0,-0.000600241,-0.0474369,3.28514,-96.5269,-114.403,411.348
340,0,0.00963223,-0.0605348,3.28071,-96.6433,-115.061,411.728
341,0,-0.00353789,-0.0492489,3.28139,-96.7369,-115.803,412.214
342,0,-0.00834608,-0.0508015,3.2825,-96.808,-116.556,412.649
343,0,-0.03164,-0.0514071,3.29322,-96.9363,-117.22,413
344,0,0.00888219,-0.0820291,3.27999,-97.1042,-117.921,413.317
345,0,-0.00520954,-0.0557625,3.2776,-97.1923,-118.606,413.856
346,0,-0.00353955,-0.0512424,3.28325,-97.2265,-119.302,414.222
347,0,-0.00511991,-0.0448385,3.2852,-97.3251,-119.965,414.664
348,0,0.00492944,-0.06321,3.27977,-97.3896,-120.646,414.928
349,0,-0.0426622,-0.0360527,3.28466,-97.4306,-121.253,415.36
350,0,-0.00514007,-0.0396514,3.27785,-97.5714,-122.061,415.613
351,0,-0.00802332,-0.0537773,3.27909,-97.6347,-122.687,415.892
352,0,0.0129365,-0.0753429,3.27942,-97.74,-123.275,416.014
353,0,0.00599716,-0.063018,3.27667,-97.7346,-123.873,416.386
354,0,-0.00615814,-0.0522901,3.27931,-97.7247,-124.564,416.685
355,0,-0.00556506,-0.0467217,3.28061,-97.7928,-125.199,416.953
356,0,0.00397609,-0.0528493,3.28338,-97.9242,-125.877,417.111
357,0,0.0130472,-0.0592533,3.27919,-98.0259,-126.479,417.256
